index,seed,style,hair_hex,skin_hex,eye_hex,suit_hex,shirt_hex,opaque
1,20268844,classic,#1E5A3C,#F2C79B,#FFFFFF,#181E2C,#AAC4E2,1948
2,20276763,fringe,#5AC8FF,#CE9264,#0C0F14,#8C929E,#BCC8BE,1948
3,20284682,spiky,#3C82F0,#BA845A,#C8FF5A,#1E5C2E,#FABEC8,1950
4,20292601,spiky,#783CA0,#E8B082,#AA50F0,#243028,#C8E2F0,1950
5,20300520,side_part,#C49252,#F2C79B,#C8FF5A,#3C424E,#FFF6E8,1956
6,20308439,buzz,#FF603C,#A8704A,#1D9BF0,#2C4664,#F0C8D2,1924
7,20316358,classic,#FF82AA,#E8B082,#FF3C3C,#5C3E22,#CEEAD6,1948
8,20324277,fringe,#7A281E,#A8704A,#FF508C,#5C3E22,#FAD0B0,1948
9,20332196,buzz,#E650BE,#BA845A,#1E5ADC,#482E1A,#E2E8F0,1924
10,20340115,buzz,#28B4AA,#FCDCBA,#FF78C8,#2C4664,#FAE2C8,1924
11,20348034,long,#FF82AA,#845438,#5AC8FF,#781E22,#AAC4E2,1948
12,20355953,spiky,#A88C60,#CE9264,#F0F078,#1A3C6E,#BCC8BE,1950
13,20363872,side_part,#1E5A3C,#623C28,#FF78C8,#2E2820,#C6D6E8,1956
14,20371791,long,#96969C,#E8B082,#AA50F0,#3C2254,#FAD0B0,1948
15,20379710,side_part,#1E5A3C,#845438,#00DCDC,#A06E28,#CEEAD6,1956
16,20387629,fringe,#FF603C,#F2C79B,#AA50F0,#781E22,#FABEC8,1948
17,20395548,spiky,#6EC850,#BA845A,#FF821E,#3C2254,#E2E8F0,1950
18,20403467,long,#121014,#A8704A,#FF508C,#F3F5F8,#E8DAC4,1948
19,20411386,side_part,#28B4AA,#845438,#78FFF0,#F3F5F8,#F0C8D2,1956
20,20419305,buzz,#28B4AA,#E8B082,#DC1E5A,#101014,#F0C8D2,1924
21,20427224,long,#C83C28,#845438,#F0F078,#3C2254,#F0C8D2,1948
22,20435143,side_part,#5C3A1E,#E8B082,#C8FF5A,#482E1A,#F0C8D2,1956
23,20443062,fringe,#F06028,#623C28,#C8FF5A,#3C2254,#DED6F6,1948
24,20450981,long,#F3F5F8,#CE9264,#8C64FF,#101014,#C6D6E8,1948
25,20458900,buzz,#8250DC,#E8B082,#FF508C,#2C4664,#FAD0B0,1924
26,20466819,buzz,#F06028,#E8B082,#5AC8FF,#F3F5F8,#AAC4E2,1924
27,20474738,buzz,#8C5A2C,#623C28,#F0F078,#181E2C,#C8E2F0,1924
28,20482657,fringe,#C83C28,#E8B082,#FFFFFF,#2E2820,#AAC4E2,1948
29,20490576,fringe,#C49252,#BA845A,#FAC828,#1A3C6E,#C8E2F0,1948
30,20498495,classic,#C83C28,#FCDCBA,#8C64FF,#3C2254,#DED6F6,1948
31,20506414,fringe,#E8D2A8,#F2C79B,#5AC8FF,#781E22,#F3F5F8,1948
32,20514333,buzz,#A88C60,#A8704A,#8C64FF,#781E22,#FABEC8,1924
33,20522252,buzz,#F3F5F8,#E8B082,#3CDC78,#A06E28,#CEEAD6,1924
34,20530171,buzz,#5C3A1E,#845438,#FF3C3C,#5A6270,#CEEAD6,1924
35,20538090,side_part,#FF82AA,#E8B082,#FFFFFF,#2C4664,#FAD0B0,1956
36,20546009,long,#783CA0,#BA845A,#FF3C3C,#A06E28,#EEE6AA,1948
37,20553928,side_part,#5AC8FF,#E8B082,#FF78C8,#2C4664,#F0C8D2,1956
38,20561847,fringe,#F3F5F8,#A8704A,#FF78C8,#3C424E,#E8DAC4,1948
39,20569766,long,#783CA0,#845438,#FF78C8,#101014,#F3F5F8,1948
40,20577685,side_part,#28B4AA,#FCDCBA,#1E5ADC,#145448,#C6D6E8,1956
41,20585604,classic,#FF82AA,#A8704A,#DC1E5A,#8C929E,#C8E2F0,1948
42,20593523,classic,#783CA0,#F2C79B,#1E5ADC,#1A3C6E,#DED6F6,1948
43,20601442,long,#6EC850,#CE9264,#FF78C8,#F3F5F8,#C6D6E8,1948
44,20609361,classic,#3C424E,#FCDCBA,#1E5ADC,#181E2C,#E8DAC4,1948
45,20617280,spiky,#A88C60,#CE9264,#00DCDC,#1E5C2E,#F3F5F8,1950
46,20625199,classic,#1E5A3C,#F2C79B,#FF78C8,#8C929E,#DED6F6,1948
47,20633118,fringe,#E650BE,#A8704A,#FFB45A,#C8CCD4,#FFF6E8,1948
48,20641037,spiky,#8250DC,#F2C79B,#FF3C3C,#5A6270,#DED6F6,1950
49,20648956,spiky,#5AC8FF,#FCDCBA,#00DCDC,#3C424E,#C6D6E8,1950
50,20656875,classic,#C83C28,#FCDCBA,#3CDC78,#8C929E,#F0C8D2,1948
51,20664794,side_part,#3C82F0,#E8B082,#AA50F0,#2C4664,#CEEAD6,1956
52,20672713,buzz,#8250DC,#845438,#5AC8FF,#1E5C2E,#DED6F6,1924
53,20680632,spiky,#7A281E,#FCDCBA,#FF821E,#5C3E22,#E8DAC4,1950
54,20688551,long,#8C5A2C,#845438,#FF821E,#3C424E,#FFF6E8,1948
55,20696470,classic,#FF82AA,#A8704A,#FAC828,#2C4664,#AAC4E2,1948
