rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
1,47,Mythic,167.7764,Fringe / Bangs,Magenta,Amber,Silver Grey,Ivory,Tan,0047.png,20633118
2,280,Mythic,160.3031,Spiky,White,Tangerine,Silver Grey,Butter,Olive,0280.png,22478245
3,645,Mythic,155.8051,Side Part,Blond,Aqua,Silver Grey,Cream,Brown,0645.png,25368680
4,338,Mythic,155.7978,Fringe / Bangs,White,Bubblegum,Silver Grey,White,Deep Brown,0338.png,22937547
5,644,Mythic,152.3511,Buzz Cut,Sky Blue,X Black,Silver Grey,Peach,Porcelain,0644.png,25360761
6,334,Mythic,151.3415,Spiky,Sky Blue,Pure White,Silver Grey,White,Fair,0334.png,22905871
7,846,Mythic,149.3827,Side Part,Charcoal,Lime,Silver Grey,Cream,Porcelain,0846.png,26960399
8,974,Mythic,148.5375,Side Part,Sandy,Aqua,Silver Grey,White,Brown,0974.png,27974031
9,848,Mythic,147.0899,Long,Red,Royal Blue,Silver Grey,Butter,Medium,0848.png,26976237
10,358,Mythic,146.4566,Fringe / Bangs,Sandy,Cyan,Silver Grey,Butter,Deep Brown,0358.png,23095927
11,610,Mythic,143.112,Classic Cut,Violet,Periwinkle,Silver Grey,Ivory,Deep Brown,0610.png,25091515
12,317,Legendary,141.7603,Buzz Cut,Violet,Lime,Silver Grey,Butter,Brown,0317.png,22771248
13,77,Legendary,140.1238,Long,Pine Green,Lime,Silver Grey,Ivory,Light,0077.png,20870688
14,373,Legendary,139.6286,Fringe / Bangs,Yellow,Lime,Silver Grey,Ivory,Tan,0373.png,23214712
15,598,Legendary,120.7487,Fringe / Bangs,Pale Blond,Amber,Forest Green,Cream,Brown,0598.png,24996487
16,97,Legendary,120.4532,Fringe / Bangs,Brown,Tangerine,White,Blush,Olive,0097.png,21029068
17,181,Legendary,119.369,Buzz Cut,Brown,Amber,Slate Grey,Lavender,Brown,0181.png,21694264
18,385,Legendary,117.7452,Long,Teal,Lemon,White,Sky,Brown,0385.png,23309740
19,399,Legendary,117.1697,Fringe / Bangs,Pale Blond,Bubblegum,White,Sage,Tan,0399.png,23420606
